mV','seconds'
7.0283,0.17725
7.0267,0.1775
7.03,0.17775
7.03,0.178
7.0383,0.17825
7.0383,0.1785
7.05,0.17875
7.05,0.179
7.0583,0.17925
7.06,0.1795
7.0633,0.17975
7.0617,0.18
7.0567,0.18025
7.0583,0.1805
7.0533,0.18075
7.055,0.181
7.0467,0.18125
7.0467,0.1815
7.0433,0.18175
7.045,0.182
7.0367,0.18225
7.0367,0.1825
7.0317,0.18275
7.03,0.183
7.0217,0.18325
7.0217,0.1835
7.0283,0.18375
7.0283,0.184
7.0317,0.18425
7.03,0.1845
7.0333,0.18475
7.03,0.185
7.0333,0.18525
7.0333,0.1855
7.0383,0.18575
7.0383,0.186
7.0467,0.18625
7.0467,0.1865
7.0533,0.18675
7.055,0.187
7.0633,0.18725
7.065,0.1875
7.0783,0.18775
7.08,0.188
7.075,0.18825
7.0767,0.1885
7.085,0.18875
7.085,0.189
7.075,0.18925
7.0733,0.1895
7.055,0.18975
7.055,0.19
7.0317,0.19025
7.03,0.1905
7.0167,0.19075
7.015,0.191
6.9367,0.19125
6.9217,0.1915
6.9433,0.19175
6.945,0.192
6.97,0.19225
6.97,0.1925
7.0133,0.19275
7.015,0.193
7.08,0.19325
7.08,0.1935
7.0967,0.19375
7.0983,0.194
7.08,0.19425
7.0783,0.1945
7.045,0.19475
7.0433,0.195
7.025,0.19525
7.0233,0.1955
7.0167,0.19575
7.0167,0.196
7.0133,0.19625
7.015,0.1965
7,0.19675
6.9983,0.197
6.9817,0.19725
6.9767,0.1975
6.9983,0.19775
7.0017,0.198
7.0967,0.19825
7.1,0.1985
7.15,0.19875
7.1517,0.199
7.1683,0.19925
7.1667,0.1995
7.0967,0.19975
7.3517,0.2
7.0717,0.20025
7.0667,0.2005
7.335,0.20075
7.1367,0.201
6.8517,0.20125
6.795,0.2015
6.8517,0.20175
6.855,0.202
6.93,0.20225
6.9333,0.2025
6.97,0.20275
6.9717,0.203
6.9867,0.20325
6.9867,0.2035
6.9983,0.20375
6.9983,0.204
7.0067,0.20425
7.0067,0.2045
7.0033,0.20475
7.005,0.205
6.995,0.20525
6.9933,0.2055
6.985,0.20575
6.985,0.206
6.9917,0.20625
6.99,0.2065
6.995,0.20675
6.995,0.207
6.9967,0.20725
6.9967,0.2075
6.9933,0.20775
6.9933,0.208
6.9817,0.20825
6.98,0.2085
6.955,0.20875
6.955,0.209
6.9383,0.20925
6.9383,0.2095
6.9317,0.20975
6.9317,0.21
6.9283,0.21025
6.93,0.2105
6.9267,0.21075
6.9267,0.211
6.9133,0.21125
6.9133,0.2115
6.905,0.21175
6.905,0.212
6.8983,0.21225
6.8983,0.2125
6.8933,0.21275
6.8933,0.213
6.89,0.21325
6.8917,0.2135
6.8883,0.21375
6.8867,0.214
6.89,0.21425
6.8917,0.2145
6.9017,0.21475
6.9033,0.215
6.915,0.21525
6.915,0.2155
6.9083,0.21575
6.9083,0.216
6.8967,0.21625
6.8967,0.2165
6.8767,0.21675
6.875,0.217
6.8617,0.21725
6.8617,0.2175
6.855,0.21775
6.8567,0.218
6.85,0.21825
6.85,0.2185
6.8333,0.21875
6.8317,0.219
6.8017,0.21925
6.8,0.2195
6.7667,0.21975
6.7667,0.22
6.7417,0.22025
6.74,0.2205
6.7283,0.22075
6.7267,0.221
6.73,0.22125
6.7283,0.2215
6.7333,0.22175
6.73,0.222
6.7333,0.22225
6.7333,0.2225
6.7367,0.22275
6.735,0.223
6.7317,0.22325
6.7317,0.2235
6.7383,0.22375
6.7383,0.224
6.745,0.22425
6.7433,0.2245
6.7533,0.22475
6.7517,0.225
6.7567,0.22525
6.7567,0.2255
6.765,0.22575
6.765,0.226
6.775,0.22625
6.775,0.2265
6.7917,0.22675
6.7917,0.227
6.805,0.22725
6.8067,0.2275
6.83,0.22775
6.8317,0.228
6.8633,0.22825
6.8633,0.2285
6.9017,0.22875
6.9017,0.229
6.9467,0.22925
6.9483,0.2295
6.9867,0.22975
6.9867,0.23
7.0067,0.23025
7.0067,0.2305
7.0133,0.23075
7.0133,0.231
7.0217,0.23125
7.0183,0.2315
7.0233,0.23175
7.0233,0.232
7.0283,0.23225
7.0283,0.2325
7.035,0.23275
7.0333,0.233
7.0417,0.23325
7.0417,0.2335
7.0483,0.23375
7.0483,0.234
7.0533,0.23425
7.0533,0.2345
7.0583,0.23475
7.0583,0.235
7.0683,0.23525
7.0683,0.2355
7.0733,0.23575
7.0733,0.236
7.0783,0.23625
7.08,0.2365
7.0867,0.23675
7.0867,0.237
7.0917,0.23725
7.0917,0.2375
7.0933,0.23775
7.0917,0.238
7.0933,0.23825
7.0917,0.2385
7.0967,0.23875
7.0967,0.239
7.105,0.23925
7.105,0.2395
7.115,0.23975
7.1133,0.24
7.1283,0.24025
7.1283,0.2405
7.1417,0.24075
7.1417,0.241
7.1517,0.24125
7.1517,0.2415
7.1583,0.24175
7.1583,0.242
7.1633,0.24225
7.165,0.2425
7.16,0.24275
7.1583,0.243
7.165,0.24325
7.165,0.2435
7.17,0.24375
7.17,0.244
7.175,0.24425
7.1767,0.2445
7.185,0.24475
7.185,0.245
7.19,0.24525
7.1883,0.2455
7.1967,0.24575
7.1967,0.246
7.215,0.24625
7.2167,0.2465
7.2367,0.24675
7.2383,0.247
7.2717,0.24725
7.2733,0.2475
7.34,0.24775
7.34,0.248
7.385,0.24825
7.3667,0.2485
7.0867,0.24875
7.0767,0.249
7.1167,0.24925
7.09,0.2495
7.17,0.24975
7.1,0.25
7.175,0.25025
7.255,0.2505
7.2567,0.25075
7.2667,0.251
7.2633,0.25125
7.225,0.2515
7.2217,0.25175
7.1783,0.252
7.1783,0.25225
7.1517,0.2525
7.1517,0.25275
7.1417,0.253
7.14,0.25325
7.1333,0.2535
7.135,0.25375
7.13,0.254
7.13,0.25425
7.1267,0.2545
7.1267,0.25475
7.1217,0.255
7.1233,0.25525
7.12,0.2555
7.12,0.25575
7.1217,0.256
7.1233,0.25625
7.12,0.2565
7.1217,0.25675
7.1167,0.257
7.1183,0.25725
7.12,0.2575
7.1183,0.25775
7.12,0.258
7.12,0.25825
7.1167,0.2585
7.1167,0.25875
7.1117,0.259
7.1117,0.25925
7.1083,0.2595
7.1083,0.25975
7.1033,0.26
7.105,0.26025
7.1017,0.2605
7.105,0.26075
7.1133,0.261
7.1133,0.26125
7.1233,0.2615
7.1233,0.26175
7.1317,0.262
7.1317,0.26225
7.1333,0.2625
7.1333,0.26275
7.1367,0.263
7.135,0.26325
7.1333,0.2635
7.135,0.26375
7.1317,0.264
7.1333,0.26425
7.1233,0.2645
7.1233,0.26475
7.115,0.265
7.115,0.26525
7.0967,0.2655
7.0967,0.26575
7.0867,0.266
7.085,0.26625
7.0767,0.2665
7.0767,0.26675
7.0717,0.267
7.0733,0.26725
7.075,0.2675
7.075,0.26775
7.08,0.268
7.08,0.26825
7.0833,0.2685
7.0833,0.26875
7.0817,0.269
7.0817,0.26925
7.0783,0.2695
7.08,0.26975
7.075,0.27
7.075,0.27025
7.0717,0.2705
7.0717,0.27075
7.0667,0.271
7.0667,0.27125
7.07,0.2715
7.065,0.27175
7.0633,0.272
7.0633,0.27225
7.0617,0.2725
7.0617,0.27275
7.065,0.273
7.065,0.27325
7.06,0.2735
